ID,name,href,first_party,second_party,winning_party,winner_index,facts
3208,James Erin McKinney v. State of Arizona,https://api.oyez.org/cases/2019/18-1109,James Erin McKinney,State of Arizona,,,"<p>By way of relevant background, James McKinney’s childhood was “horrific” due to poverty, physical and emotional abuse—all detailed in the court filings. Around age 11, he began drinking alcohol and smoking marijuana, and he dropped out of school in the seventh grade. He repeatedly tried to run aw"
3209,Michelle Monasky v. Domenico Taglieri,https://api.oyez.org/cases/2019/18-935,Michelle Monasky,Domenico Taglieri,,,"<p>Michelle Monasky, a U.S. citizen married to Domenico Taglieri, an Italian citizen, claimed that Taglieri had repeatedly assaulted her before and during her pregnancy. Monasky returned to the United States with their two-month-old daughter, and Taglieri asked an Italian court to terminate Monasky’"
3210,"Comcast Corporation v. National Association of African American-Owned Media and Entertainment Studio Networks, Inc.",https://api.oyez.org/cases/2019/18-1171,Comcast Corporation,"National Association of African American-Owned Media and Entertainment Studio Networks, Inc.",,,"<p>Entertainment Studios Network (ESN), owned by African American actor and comedian Byron Allen, and the National Association of African American-Owned Media, an entity created by Allen, sued Comcast over the latter’s decision not to carry ESN’s channels. ESN alleged that Comcast’s decision not to "
3211,"Ritzen Group, Inc. v. Jackson Masonry, LLC",https://api.oyez.org/cases/2019/18-938,"Ritzen Group, Inc.","Jackson Masonry, LLC",,,"<p>Ritzen Group contracted to buy a piece of property from Jackson Masonry, but the sale was never completed. Ritzen claims that Jackson breached the contract by providing erroneous documentation about the property just before the deadline, while Jackson claims Ritzen breached by failing to secure f"
3212,"Gregory Dean Banister v. Lorie Davis, Director, Texas Department of Criminal Justice, Correctional Institutions Division",https://api.oyez.org/cases/2019/18-6943,Gregory Dean Banister,"Lorie Davis, Director, Texas Department of Criminal Justice, Correctional Institutions Division",,,"<p>Gregory Dean Banister was convicted by a jury of aggravated assault with a deadly weapon and sentenced to thirty years’ imprisonment. He filed a habeas petition asserting numerous constitutional violations, which the district court denied on the merits on May 15, 2017. He also requested a certifi"
3213,"State of Georgia, et al. v. Public.Resource.Org, Inc.",https://api.oyez.org/cases/2019/18-1150,"State of Georgia, et al.","Public.Resource.Org, Inc.",,,"<p>The Official Code of Georgia Annotated is a compilation of Georgia statutes accompanied by various annotations, “consisting of history lines, repeal lines, cross references, commentaries, case notations, editor’s notes, excerpts from law review articles, summaries of opinions of the Attorney Gene"
3214,"Thryv, Inc. v. Click-to-Call Technologies, LP and Andrei Iancu, Under Secretary of Commerce for Intellectual Property and Director of the United States Patent and Trademark Office",https://api.oyez.org/cases/2019/18-916,"Thryv, Inc.","Click-to-Call Technologies, LP and Andrei Iancu, Under Secretary of Commerce for Intellectual Property and Director of the United States Patent and Trademark Office",,,"<p>This case arises out of a complex procedural history involving a patent dispute between several parties and concerns not the merits of the proceedings but a procedural aspect of it.</p>
<p>The America Invents Act created “inter partes review” as a way of challenging a patent before the Patent Tri"
3215,Maine Community Health Options v. United States,https://api.oyez.org/cases/2019/18-1023,Maine Community Health Options,United States,,,"<p>Congress, in order to persuade the nation’s health insurance industry to provide insurance to previously uninsured or uninsurable persons, the legislation creating the Affordable Care Act provided that insurance losses over a designated percentage would be reimbursed, and comparable profits would"
3216,Pedro Pablo Guerrero-Lasprilla v. William P. Barr,https://api.oyez.org/cases/2019/18-776,Pedro Pablo Guerrero-Lasprilla,William P. Barr,,,"<p>Pedro Pablo Guerrero-Lasprilla, a native and citizen of Colombia, entered the United States in 1986 as a legal immigrant but was removed in 1998 due to felony drug convictions. In September 2016, Guerrero filed a motion to reopen, claiming that the 2014 decision by the Board of Immigration Appeal"
3217,"Financial Oversight and Management Board for Puerto Rico v. Aurelius Investment, LLC, et al.",https://api.oyez.org/cases/2019/18-1334,Financial Oversight and Management Board for Puerto Rico,"Aurelius Investment, LLC, et al.",,,"<p>Since it was ceded to the United States in 1898, Puerto Rico has accumulated substantial debt, in large part due to its ambiguous legal status as a protectorate of the United States and the economically detrimental policies the United States has enacted over the decades. Exacerbated by a series o"
3218,"James J. Thole, et al. v. U.S. Bank, N.A., et al.",https://api.oyez.org/cases/2019/17-1712,"James J. Thole, et al.","U.S. Bank, N.A., et al.",,,"<p>Named plaintiff James Thole and others brought a class action lawsuit against U.S. Bank and other over alleged mismanagement of a defined benefit pension plan between 2007 and 2010. The plaintiffs alleged that the defendants violated Section 404, 405, and 406 of the Employee Retirement Income Sec"
3219,"Noris Babb v. Robert Wilkie, Secretary of Veterans Affairs",https://api.oyez.org/cases/2019/18-882,Noris Babb,"Robert Wilkie, Secretary of Veterans Affairs",,,"<p>Petitioner Noris Babb worked as a pharmacist for the Veterans Affairs (VA) Medical Center in Bay Pines, Florida, since 2004. While there, she helped to develop the Geriatric Pharmacotherapy Clinic (GPC), which serves older veterans with diseases or disabilities common to individuals of advanced a"
3220,"GE Energy Power Conversion France SAS, Corp. a Foreign Corporation Formally Known As Converteam SAS v. Outokumpu Stainless USA, LLC, et al.",https://api.oyez.org/cases/2019/18-1048,"GE Energy Power Conversion France SAS, Corp. a Foreign Corporation Formally Known As Converteam SAS","Outokumpu Stainless USA, LLC, et al.",,,"<p>Outokumpu operates a steel plant in Alabama that contains three “cold rolling mills,” which are required for manufacturing and processing certain steel products. In November 2007, while Outokumpu’s plant was under construction, the company’s predecessor, ThyssenKrupp, entered into three contracts"
3221,"Kendra Espinoza, Jeri Ellen Anderson and Jamie Schaefer v. Montana Department of Revenue, et al.",https://api.oyez.org/cases/2019/18-1195,"Kendra Espinoza, Jeri Ellen Anderson and Jamie Schaefer","Montana Department of Revenue, et al.",,,"<p>Petitioners Kendra Espinoza and others are low-income mothers who applied for scholarships to keep their children enrolled in Stillwater Christian School, in Kalispell, Montana. The Montana legislature enacted a tax-credit scholarship program in 2015 to provide a modest tax credit to individuals "
3222,"Lucky Brand Dungarees Inc., et al. v. Marcel Fashions Group, Inc.",https://api.oyez.org/cases/2019/18-1086,"Lucky Brand Dungarees Inc., et al.","Marcel Fashions Group, Inc.",,,"<p>Marcel and Lucky Brand are competitors in the apparel industry, and this dispute arises over Marcel’s allegation that Lucky Brand is infringing on its “Get Lucky” trademark through its use of “Lucky” on its merchandise in violation of an injunction entered in an earlier action between the two par"
3223,"Romag Fasteners, Inc. v. Fossil, Inc., et al.",https://api.oyez.org/cases/2019/18-1233,"Romag Fasteners, Inc.","Fossil, Inc., et al.",,,"<p>Petitioner Romag Fasteners, Inc., sells magnetic snap fasteners for use in wallets, handbags, and other leather goods. Respondent Fossil designs, markets, and distributes fashion accessories, including handbags and small leather goods. In 2002, Fossil and Romag entered into an agreement to use Ro"
3224,Bridget Anne Kelly v. United States of America,https://api.oyez.org/cases/2019/18-1059,Bridget Anne Kelly,United States of America,,,"<p>This case arises from the scandal that became known as “Bridgegate.” Defendants William E. Baroni, Jr. and Bridget Anne Kelly conspired to create major traffic jams in Fort Lee, New Jersey, after Fort Lee’s mayor refused to endorse the 2013 reelection bid of then-Governor Chris Christie. The defe"
3225,Simon E. Rodriguez v. Federal Deposit Insurance Corporation,https://api.oyez.org/cases/2019/18-1269,Simon E. Rodriguez,Federal Deposit Insurance Corporation,,,"<p>United Western Bancorp, Inc. (UWBI) was in Chapter 7 bankruptcy proceedings when it received a tax refund check from the Internal Revenue Service that was the result of net operating losses incurred by one of UWBI’s subsidiaries (United Western Bank). UWBI and its subsidiaries had entered into a "
3226,Eddie Lee Shular v. United States of America,https://api.oyez.org/cases/2019/18-6662,Eddie Lee Shular,United States of America,,,"<p>The Armed Career Criminal Act (ACCA) provides in relevant part that a person who has three previous convictions for a “violent felony” or a “serious drug offense” shall serve a mandatory minimum sentence of 15 years in prison. In recent cases, the U.S. Supreme Court has adopted a “categorical” ap"
3227,United States of America v. Evelyn Sineneng-Smith,https://api.oyez.org/cases/2019/19-67,United States of America,Evelyn Sineneng-Smith,,,"<p>Evelyn Sineneng-Smith operated an immigration consulting firm in San Jose, California. Her clients were mostly natives of the Philippines, who were unlawfully employed in the United States and were seeking to obtain legal permanent residence (green cards). Sineneng-Smith purported to help her cli"
3228,"Department of Homeland Security, et al. v. Regents of the University of California, et al.",https://api.oyez.org/cases/2019/18-587,"Department of Homeland Security, et al.","Regents of the University of California, et al.",,,"<p>In 2012, the U.S. Department of Homeland Security (DHS) adopted a program—known as the Deferred Action for Childhood Arrivals (DACA)—to postpone the deportation of undocumented immigrants who had been brought to the United States as children and to assign them work permits allowing them to obtain"
3229,"Jesus C. Hernández, et al. v. Jesus Mesa, Jr.",https://api.oyez.org/cases/2019/17-1678,"Jesus C. Hernández, et al.","Jesus Mesa, Jr.",,,"<p>Sergio Adrián Hernández Güereca, a 15-year-old Mexican national, was playing with friends in the cement culvert between El Paso, Texas, and Cuidad Juarez, Mexico. Border Patrol Agent Jesus Mesa, Jr. arrived on the scene and detained one of Hernández’s friends on U.S. territory. Hernández ran into"
3230,"Arthur James Lomax v. Christina Ortiz-Marquez, et al.",https://api.oyez.org/cases/2019/18-8369,Arthur James Lomax,"Christina Ortiz-Marquez, et al.",,,"<p>Arthur J. Lomax is a Colorado prisoner at the Limon Correctional Facility. While at a different prison, he filed a lawsuit against several prison employees and filed a motion for leave to proceed in forma pauperis (without paying the usual court fees) pursuant to 28 U.S.C. § 1915. Upon direction "
3231,"June Medical Services L.L.C., et al. v. Stephen Russo, Interim Secretary, Louisiana Department of Health and Hospitals",https://api.oyez.org/cases/2019/18-1323,"June Medical Services L.L.C., et al.","Stephen Russo, Interim Secretary, Louisiana Department of Health and Hospitals",,,"<p>In June 2014, Louisiana passed Act 620, which required “that every physician who performs or induces an abortion shall ‘have active admitting privileges at a hospital that is located not further than thirty miles from the location at which the abortion is performed or induced.’”</p>
<p>Several ab"
3232,"United States Forest Service, et al. v. Cowpasture River Association, et al.",https://api.oyez.org/cases/2019/18-1584,"United States Forest Service, et al.","Cowpasture River Association, et al.",,,"<p>The Appalachian Trail spans over 2,000 miles, from Maine to Georgia, with approximately 1,000 miles of the Trail crossing through lands within national forests. Under the National Trails System Act, the Secretary of the Interior has the responsibility to administer the trail and that responsibili"
3233,"Nidal Khalid Nasrallah v. William P. Barr, Attorney General",https://api.oyez.org/cases/2019/18-1432,Nidal Khalid Nasrallah,"William P. Barr, Attorney General",,,"<p>Nidal Khalid Nasrallah, a native and citizen of Lebanon, was 17 years old when he entered the United States on a tourist visa in 2006. He became a lawful permanent resident the following year.</p>
<p>In 2011, pursuant to a plea bargain agreement, Nasrallah pleaded guilty to two counts of receivin"
3234,"Google LLC v. Oracle America, Inc.",https://api.oyez.org/cases/2020/18-956,Google LLC,"Oracle America, Inc.",,,"<p>When Google implemented its Android Operating System (Android OS), it wrote its own programming language based on Java, which is owned by Oracle. To facilitate developers writing their own programs for Android OS, Google’s version used the same names, organization, and functionality as Java's App"
3235,United States of America v. Michael J.D. Briggs,https://api.oyez.org/cases/2020/19-108,United States of America,Michael J.D. Briggs,,,"<p>In 2014, a general court-martial composed of a military judge alone found Michael Briggs guilty of rape in violation of Article 120(a), Uniform Code of Military Justice (UCMJ), 10 U.S.C. § 920(a) (2000), for conduct that occurred nine years earlier, in 2005. The UCMJ allows for a military offense"
3236,"FNU Tanzin, et al. v. Muhammad Tanvir, et al.",https://api.oyez.org/cases/2020/19-71,"FNU Tanzin, et al.","Muhammad Tanvir, et al.",,,"<p>The plaintiffs, Muslim men born outside of the U.S. but living lawfully inside the country, allege that the Federal Bureau of Investigation (FBI) placed their names on the national “No Fly List,” despite posing no threat to aviation, in retaliation for their refusal to become FBI informants repor"
3237,Seila Law LLC v. Consumer Financial Protection Bureau,https://api.oyez.org/cases/2019/19-7,Seila Law LLC,Consumer Financial Protection Bureau,,,"<p>The Consumer Financial Protection Bureau (CFPB) was investigating Seila Law LLC, a law firm that provides debt-relief services, among others. As part of its investigation, the CFPB issued a civil investigative demand to Seila Law that requires the firm to respond to several interrogatories and re"
3238,"John C. Carney, Governor of Delaware v. James R. Adams",https://api.oyez.org/cases/2020/19-309,"John C. Carney, Governor of Delaware",James R. Adams,,,"<p>James R. Adams is a resident of Delaware and member of that state’s bar. Adams considered applying for a judicial position but ultimately decided not to because the state required the candidate to be a Republican, and Adams was neither a Republican nor a Democrat.</p>
<p>Adams filed a lawsuit aga"
3239,"Department of Homeland Security, et al. v. Vijayakumar  Thuraissigiam",https://api.oyez.org/cases/2019/19-161,"Department of Homeland Security, et al.",Vijayakumar  Thuraissigiam,,,"<p>Vijayakumar Thuraissigiam is a native and citizen of Sri Lanka and a Tamil, an ethnic minority group in Sri Lanka. Thuraissigiam entered the United States via its southern border, and Customs and Border Protection (CBP) officers arrested him and placed him in expedited removal proceedings. Thurai"
3240,"Charles C. Lui, et al. v. Securities and Exchange Commission",https://api.oyez.org/cases/2019/18-1501,"Charles C. Lui, et al.",Securities and Exchange Commission,,,"<p>Charles Liu operated an EB-5 fund, which is a fund that offers lawful permanent residence opportunities to foreigners who make significant investments in the United States. However, Liu misappropriated millions of dollars that had been invested in the fund, in violation of Section 17(a) of the Se"
3241,United States Patent and Trademark Office v. Booking.com B.V.,https://api.oyez.org/cases/2019/19-46,United States Patent and Trademark Office,Booking.com B.V.,,,"<p>Booking.com operates a website on which customers can make travel and lodging reservations and has used the name BOOKING.COM since at least 2006. In 2011 and 2012, Booking.com filed with the U.S. Patent and Trademark Office (USPTO) four trademark applications for the use of BOOKING.COM as a word "
3242,"Roxanne Torres v. Janice Madrid, et al.",https://api.oyez.org/cases/2020/19-292,Roxanne Torres,"Janice Madrid, et al.",,,"<p>In 2014, Roxanne Torres was involved in an incident with police officers in which she was operating a vehicle under the influence of methamphetamine and in the process of trying to get away, endangered the two officers pursuing her. In the process, one of the officers shot and injured her. Torres"
3243,"City of Chicago, Illinois v. Robbin L. Fulton, et al.",https://api.oyez.org/cases/2020/19-357,"City of Chicago, Illinois","Robbin L. Fulton, et al.",,,"<p>The City of Chicago towed and impounded the Robbin Fulton’s vehicle for a prior citation of driving on a suspended license. Fulton filed a Chapter 13 bankruptcy action treating the City as an unsecured creditor. The City filed an unsecured proof of claim, and the bankruptcy court confirmed Fulton"
3244,"David Thompson, et al. v. Heather Hebdon, Executive Director of the Alaska Public Offices Commission, et al.",https://api.oyez.org/cases/2019/19-122,"David Thompson, et al.","Heather Hebdon, Executive Director of the Alaska Public Offices Commission, et al.",,,"<p>Alaska law imposes certain limits on political contributions. Specifically, it limits contributions made by individuals to political candidates, contributions made by individuals to election-related groups, political party-to-candidate contributions, and the total funds a candidate may receive fr"
3245,"Clemente Avelino Pereida v. Robert M. Wilkinson, Acting Attorney General",https://api.oyez.org/cases/2020/19-438,Clemente Avelino Pereida,"Robert M. Wilkinson, Acting Attorney General",,,"<p>Clemente Avelino Pereida, a native and citizen of Mexico, pleaded no contest to a criminal charge in Nebraska, arising from his attempt to use a fraudulent social security card to obtain employment. The Department of Homeland Security initiated removal proceedings against Pereida, and Pereida sou"
3246,"Donald J. Trump, et al. v. Mazars USA, LLP, et al.",https://api.oyez.org/cases/2019/19-715,"Donald J. Trump, et al.","Mazars USA, LLP, et al.",,,"<p>The U.S. House of Representatives Committee on Oversight and Reform issued a subpoena to Mazars USA, the accounting firm for Donald Trump (in his capacity as a private citizen) and several of his businesses, demanding private financial records belonging to Trump. According to the Committee, the r"
3247,Jimcy McGirt v. Oklahoma,https://api.oyez.org/cases/2019/18-9526,Jimcy McGirt,Oklahoma,,,"<p>Jimcy McGirt, a member of the Muscogee (Creek) Nation was convicted of sex crimes against a child by the state of Oklahoma within the historical Creek Nation boundaries. He argued that Oklahoma could not exercise jurisdiction over him because under the Indian Major Crimes Act, any crime involving"
3248,"Donald J. Trump v. Cyrus R. Vance, Jr., in His Official Capacity as District Attorney of the County of New York, et al.",https://api.oyez.org/cases/2019/19-635,Donald J. Trump,"Cyrus R. Vance, Jr., in His Official Capacity as District Attorney of the County of New York, et al.",,,"<p>The district attorney of New York County issued a grand jury subpoena to an accounting firm that possessed the financial records of President Donald Trump and one of his businesses. Trump asked a federal court to restrain enforcement of that subpoena, but the district court declined to exercise j"
3249,Manfredo Salinas v. United States Railroad Retirement Board,https://api.oyez.org/cases/2020/19-199,Manfredo Salinas,United States Railroad Retirement Board,,,"<p>In 2006, Petitioner Manfredo M. Salinas applied for a disability annuity under the Railroad Retirement Act, but the U.S. Railroad Retirement Board (“the Board”) denied his application. After the filing period had expired, Salinas sought reconsideration, which the Board also denied, based on its c"
3250,"United States Agency for International Development, et al. v. Alliance for Open Society International, Inc., et al.",https://api.oyez.org/cases/2019/19-177,"United States Agency for International Development, et al.","Alliance for Open Society International, Inc., et al.",,,<p>The Alliance for Open Society International and other organizations receive funding from the U.S. government to help with their mission of fighting HIV/AIDS abroad. The government provides the funds on the condition that “no funds be used to provide assistance to any group or organization that do
3251,"Daniel D. Glasser, Norton I. Kretske, and Alfred E. Roth v. United States",https://api.oyez.org/cases/1940-1955/30,"Daniel D. Glasser, Norton I. Kretske, and Alfred E. Roth",United States,,,"<p>Petitioners Daniel D. Glasser, Norton I. Kretske, and Alfred E. Roth were Assistant United States Attorneys in the Northern District of Illinois, specializing in liquor and revenue offenses. They, along with Anthony Horton, a professional bondsman, and Louis Kaplan, an automobile allegedly engage"
3252,"Ford Motor Company v. Montana Eighth Judicial District Court, et al.",https://api.oyez.org/cases/2020/19-368,Ford Motor Company,"Montana Eighth Judicial District Court, et al.",,,"<p>In 2015, Markkaya Jean Gullett, a Montana resident, was driving a Ford Explorer on a Montana highway when the tread on one of her tires separated. She lost control of the vehicle and died as a result of the vehicle rolling into a ditch.</p>
<p>The personal representative of Gullett’s estate sued "
3253,Our Lady of Guadalupe School v. Agnes Morrissey-Berru,https://api.oyez.org/cases/2019/19-267,Our Lady of Guadalupe School,Agnes Morrissey-Berru,,,<p>Agnes Deirdre Morrissey-Berru was an teacher at Our Lady of Guadalupe School and brought a claim against the school under the Age Discrimination in Employment Act (ADEA). The district court granted summary judgment in favor of the school on the basis that Morrissey-Berru was a “minister.” In Hosa
3254,"Sharonell Fulton, et al. v. City of Philadelphia, Pennsylvania, et al.",https://api.oyez.org/cases/2020/19-123,"Sharonell Fulton, et al.","City of Philadelphia, Pennsylvania, et al.",,,"<p>In March 2018, the City of Philadelphia barred Catholic Social Services (CSS) from placing children in foster homes because of its policy of not licensing same-sex couples to be foster parents. CSS sued the City of Philadelphia, asking the court to order the city to renew their contract. CSS argu"
3255,"United States Fish and Wildlife Service, et al. v. Sierra Club, Inc.",https://api.oyez.org/cases/2020/19-547,"United States Fish and Wildlife Service, et al.","Sierra Club, Inc.",,,"<p>Industrial facilities, power plants, and other manufacturing complexes use water from lakes, rivers, estuaries, and oceans to cool their facilities through cooling water intake structures. Because these structures potentially cause significant harm to aquatic life, Section 316(b) of the Clean Wat"
3256,"Charles Borden, Jr. v. United States of America",https://api.oyez.org/cases/2020/19-5410,"Charles Borden, Jr.",United States of America,,,"<p>Police caught Charles Borden, Jr., with a pistol during a traffic stop in April 2017, and he subsequently pleaded guilty possessing that firearm as a felon, in violation of 18 U.S.C. § 922(g)(1). At sentencing, the government recommended sentencing Borden as an armed career criminal, under the Ar"
3257,"The State of California, et al. v. The State of Texas, et al.",https://api.oyez.org/cases/2020/19-840,"The State of California, et al.","The State of Texas, et al.",,,"<p>In 2012, the U.S. Supreme Court upheld the individual mandate of the Affordable Care Act (ACA) against a constitutional challenge by characterizing the penalty for not buying health insurance as a tax, which Congress has the power to impose. In 2017, the Republican-controlled Congress enacted an "
3258,"Douglas Brownback, et al. v. James King",https://api.oyez.org/cases/2020/19-546,"Douglas Brownback, et al.",James King,,,"<p>Two undercover FBI agents mistakenly identified petitioner James King as a criminal suspect and approached him. The parties differed in their account of the facts as to whether the agents identified themselves as police officers, but King apparently perceived he was being mugged and resisted thei"
3259,Brett Jones v. Mississippi,https://api.oyez.org/cases/2020/18-1259,Brett Jones,Mississippi,,,"<p>When Brett Jones was fifteen years old, he stabbed his grandfather to death. He was convicted of murder, and the Circuit Court of Lee County, Mississippi, imposed a mandatory sentence of life imprisonment, and Mississippi law made him ineligible for parole. The appellate court affirmed his convic"
3260,"Augusto Niz-Chavez v. Merrick B. Garland, Attorney General",https://api.oyez.org/cases/2020/19-863,Augusto Niz-Chavez,"Merrick B. Garland, Attorney General",,,"<p>Agusto Niz-Chavez, a Guatemalan native and citizen, came to the United States without inspection in 2005. On March 26, 2013, he was served with a notice to appear before an immigration judge at a date and time to be determined later, and approximately two months later, on May 29, 2013, he receive"
3261,"CIC Services, LLC v. Internal Revenue Service, et al.",https://api.oyez.org/cases/2020/19-930,"CIC Services, LLC","Internal Revenue Service, et al.",,,"<p>In 2004, Congress delegated authority to the Internal Revenue Service (“IRS”) to gather information about potential tax shelters, which the IRS does by requiring taxpayers their advisors to maintain and submit records pertaining to any ""reportable transactions."" IRS regulations define what consti"
3262,"Thedrick Edwards v. Darrel Vannoy, Warden",https://api.oyez.org/cases/2020/19-5807,Thedrick Edwards,"Darrel Vannoy, Warden",,,"<p>Thedrick Edwards was sentenced to life in prison for the commission of several robberies and rape in 2006. At Edwards’s trial, the state used its challenges to exclude all but one African American juror from the jury, and at least one person voted to acquit Edwards, a black man, on each count. At"
3263,"Tae D. Johnson, Acting Director of U.S. Immigration and Customs Enforcement, et al. v. Maria Angelica Guzman Chavez, et al.",https://api.oyez.org/cases/2020/19-897,"Tae D. Johnson, Acting Director of U.S. Immigration and Customs Enforcement, et al.","Maria Angelica Guzman Chavez, et al.",,,"<p>Respondents are a class of noncitizens subject to reinstated removal orders, which generally are not open to challenge. However, if a noncitizen has a reasonable fear of persecution or torture in the countries designated in their removal orders, the person may pursue withholding of removal. That "
3264,"William P. Barr, Attorney General; Federal Communications Commission v. American Association of Political Consultants, Inc., et al.",https://api.oyez.org/cases/2019/19-631,"William P. Barr, Attorney General; Federal Communications Commission","American Association of Political Consultants, Inc., et al.",,,<p>Congress enacted the Telephone Consumer Protection Act of 1991 to address intrusive and unwanted phone calls to Americans. One provision of that Act—the automatic call ban—prohibits phone calls to cell phones that use “any automatic telephone dialing system or an artificial or prerecorded voice.”
3265,The Little Sisters of the Poor Saints Peter and Paul Home v. Commonweath of Pennsylvania and State of New Jersey,https://api.oyez.org/cases/2019/19-431,The Little Sisters of the Poor Saints Peter and Paul Home,Commonweath of Pennsylvania and State of New Jersey,,,"<p>The Women’s Health Amendment to the Affordable Care Act (ACA) requires that women's health insurance include coverage for preventive health care, including contraception. The rule provided that a nonprofit religious employer who objects to providing contraceptive services may file an accommodatio"
3266,"Patrick J. Collins, et al. v. Janet L. Yellen, Secretary of the Treasury, et al.",https://api.oyez.org/cases/2020/19-422,"Patrick J. Collins, et al.","Janet L. Yellen, Secretary of the Treasury, et al.",,,"<p>Fannie Mae and Freddie Mac are government-sponsored enterprises (GSEs) that purchase mortgages, buy and sell mortgage-backed securities, and guarantee many of the mortgages in the United States. In 2005 and 2006, as the housing market was reaching its peak, Fannie and Freddie over-invested in ris"
3267,"Peter Bret Chiafalo, Levi Jennet Guerra, and Esther Virginia John v. State of Washington",https://api.oyez.org/cases/2019/19-465,"Peter Bret Chiafalo, Levi Jennet Guerra, and Esther Virginia John",State of Washington,,,"<p>Under Washington State law, each political party with presidential candidates is required to nominate for the Electoral College electors from its party equal to the number of senators and representatives allotted to the state. Nominees must pledge to vote for the candidate of their party, and any"
3268,"AMG Capital Management, LLC, et al. v. Federal Trade Commission",https://api.oyez.org/cases/2020/19-508,"AMG Capital Management, LLC, et al.",Federal Trade Commission,,,"<p>Scott Tucker owned several companies that provided high-interest, short-term loans via several websites. The loans allegedly required customers to agree to terms that were obscured in several long, cross-referenced agreements. In April 2012, the Federal Trade Commission (“Commission”) filed a law"
3269,"Facebook, Inc. v. Noah Duguid",https://api.oyez.org/cases/2020/19-511,"Facebook, Inc.",Noah Duguid,,,"<p>Noah Duguid brought this lawsuit because Facebook sent him numerous automatic text messages without his consent. Duguid did not use Facebook, yet for approximately ten months, the social media company repeatedly alerted him by text message that someone was attempting to access his (nonexistent) F"
3270,"Chike Uzuegbunam, et al. v. Stanley C. Preczewski, et al.",https://api.oyez.org/cases/2020/19-968,"Chike Uzuegbunam, et al.","Stanley C. Preczewski, et al.",,,"<p>In July 2016, Chike Uzuegbunam, a student at Georgia Gwinnett College (GGC), began distributing religious literature in an outdoor plaza on GGC’s campus. The campus police stopped him, however, citing GGC’s “Freedom of Expression Policy,” which stated that students were generally permitted to eng"
3271,"Colorado Department of State v. Micheal Baca, et al.",https://api.oyez.org/cases/2019/19-518,Colorado Department of State,"Micheal Baca, et al.",,,"<p>Michael Baca, Polly Baca, and Robert Nemanich were appointed as three of Colorado’s nine presidential electors for the 2016 general election. Colorado law requires presidential electors to cast their votes for the winner of the popular vote in the state for President and Vice President. When Hill"
3272,"Federal Republic of Germany, et al. v. Alan Philipp, et al.",https://api.oyez.org/cases/2020/19-351,"Federal Republic of Germany, et al.","Alan Philipp, et al.",,,"<p>In 1929, just weeks before the October 1929 global stock market crash, several Jewish art dealers in Germany purchased a collection of medieval reliquaries. During the ensuing global depression, the dealers sold about half the pieces and stored the remainder in the Netherlands. Nazi leaders negot"
3273,"Nestlé USA, Inc. v. John Doe I, et al.",https://api.oyez.org/cases/2020/19-416,"Nestlé USA, Inc.","John Doe I, et al.",,,"<p>The plaintiff/respondents in this case are former enslaved children who were kidnapped and forced to work on cocoa farms in the Ivory Coast for up to fourteen hours without pay. They filed a class-action lawsuit against large manufacturers, purchasers, processors, and retail sellers of cocoa bean"
3274,"Republic of Hungary, et al. v. Rosalie Simon, et al.",https://api.oyez.org/cases/2020/18-1447,"Republic of Hungary, et al.","Rosalie Simon, et al.",,,<p>Rosalie Simon and other respondents in this case are Jewish survivors of the Holocaust in Hungary. They sued the Republic of Hungary and other defendants in federal court in the United States seeking class certification and class-wide damages for property taken from them during World War II. Impo
3275,Texas v. New Mexico,https://api.oyez.org/cases/2020/65-orig,Texas,New Mexico,,,"<p>Texas and New Mexico entered into the Pecos River Compact to resolve disputes about the Pecos River, which traverses both states. A River Master performs annual calculations of New Mexico's water delivery to ensure it complies with its Compact obligations. A party may seek the Supreme Court's rev"
3276,"Merrick B. Garland, Attorney General v. Ming Dai",https://api.oyez.org/cases/2020/19-1155,"Merrick B. Garland, Attorney General",Ming Dai,,,"<p>Ming Dai, a native and citizen of China, sought asylum in the United States. An immigration judge denied his applications for asylum, withholding of removal, and protection under the Convention Against Torture, although it did not expressly state that Dai’s testimony lacked credibility. The Board"
3277,"BP P.L.C., et al. v. Mayor and City Council of Baltimore",https://api.oyez.org/cases/2020/19-1189,"BP P.L.C., et al.",Mayor and City Council of Baltimore,,,"<p>In July 2018, the Mayor and City of Baltimore filed suit in Maryland state court against 26 oil and gas companies that Maryland says are partly responsible for climate change. The complaint asserted eight causes of action, all founded on Maryland law, and sought monetary damages, civil penalties,"
3278,"Mark Brnovich, Attorney General of Arizona, et al. v. Democratic National Committee, et al.",https://api.oyez.org/cases/2020/19-1257,"Mark Brnovich, Attorney General of Arizona, et al.","Democratic National Committee, et al.",,,"<p>Arizona offers two methods of voting: (1) in-person voting at a precinct or vote center either on election day or during an early-vote period, or (2) “early voting” whereby the voter receives the ballot by mail and either mails back the voted ballot or delivers the ballot to a designated drop-off"
3279,"Federal Communications Commission, et al. v. Prometheus Radio Project, et al.",https://api.oyez.org/cases/2020/19-1231,"Federal Communications Commission, et al.","Prometheus Radio Project, et al.",,,"<p>The Federal Communications Commission (FCC) maintains a collection of rules governing ownership of broadcast media, intended to promote “competition, diversity, and localism.” In 1996, in response to sentiment that the rules were overly restrictive, Congress passed the Telecommunications Act, of "
